GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,BLOCKA,CONCITA,AIANHHRA,AIANHHTA,AIANHHA,AITSA,ANRCA,CSAA,NECTAA,NECTADIVA,CNECTAA,CDA,SLDUA,SLDLA,VTDA,SUBMCDA,SDELMA,SDSECA,SDUNIA,NAME,SABINSA,H7S001,H7S002,H7S003,H7S004,H7S005,H7S006,H7S007,H7S008,H7S009,H7S010,H7S011,H7S012,H7S013,H7S014,H7S015,H7S016,H7S017,H7S018,H7S019,H7S020,H7S021,H7S022,H7S023,H7S024,H7S025,H7S026,H7S027,H7S028,H7S029,H7S030,H7S031,H7S032,H7S033,H7S034,H7S035,H7S036,H7S037,H7S038,H7S039,H7S040,H7S041,H7S042,H7S043,H7S044,H7S045,H7S046,H7S047,H7S048,H7S049,H7S050,H7S051,H7S052,H7S053,H7S054,H7S055,H7S056,H7S057,H7S058,H7S059,H7S060,H7S061,H7S062,H7S063,H7S064,H7S065,H7S066,H7S067,H7S068,H7S069,H7S070,H7S071
"G4803150","2010","3","7","Texas","48","Marion County","315",,,,,,,,,,,,"999",,,,,,,,,,,,"Marion County",,8537,8397,6442,1781,71,36,3,64,140,128,10,76,2,2,15,8,7,2,3,1,2,0,0,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803170","2010","3","7","Texas","48","Martin County","317",,,,,,,,,,,,"999",,,,,,,,,,,,"Martin County",,3343,3293,2888,46,20,10,1,328,50,50,5,15,3,1,18,0,0,0,5,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803190","2010","3","7","Texas","48","Mason County","319",,,,,,,,,,,,"999",,,,,,,,,,,,"Mason County",,3161,3135,2963,11,13,5,0,143,26,22,1,11,1,0,6,0,0,0,0,0,0,1,1,0,1,4,1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803210","2010","3","7","Texas","48","Matagorda County","321",,,,,,,,,,,,"288",,,,,,,,,,,,"Matagorda County",,27031,26584,19800,3057,189,497,8,3033,447,422,41,89,30,4,194,10,7,0,10,1,0,19,1,8,8,19,2,0,0,0,2,0,1,2,1,3,1,0,2,5,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,1,1,0,0,0,0,0,0,0
"G4803230","2010","3","7","Texas","48","Maverick County","323",,,,,,,,,,,,"999",,,,,,,,,,,,"Maverick County",,35935,35569,32890,88,368,128,3,2092,366,359,9,23,23,4,260,4,2,0,6,0,0,13,0,13,2,6,1,0,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803250","2010","3","7","Texas","48","Medina County","325",,,,,,,,,,,,"999",,,,,,,,,,,,"Medina County",,34141,33565,29436,887,230,252,27,2733,576,541,33,146,43,7,254,2,3,1,8,0,2,16,2,16,8,29,15,1,0,1,0,2,4,1,1,4,0,0,0,0,0,0,0,0,0,0,3,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0
"G4803270","2010","3","7","Texas","48","Menard County","327",,,,,,,,,,,,"999",,,,,,,,,,,,"Menard County",,1803,1779,1511,11,12,3,0,242,24,23,0,4,1,0,18,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803290","2010","3","7","Texas","48","Midland County","329",,,,,,,,,,,,"372",,,,,,,,,,,,"Midland County",,99343,97553,78517,6355,728,1271,37,10645,1790,1733,164,396,128,16,800,24,20,3,75,6,3,45,9,35,9,54,22,1,0,4,0,1,7,6,2,0,3,0,1,1,3,0,0,3,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"G4803310","2010","3","7","Texas","48","Milam County","331",,,,,,,,,,,,"999",,,,,,,,,,,,"Milam County",,18205,18016,14724,1685,124,75,1,1407,189,186,14,62,6,2,79,6,0,1,4,0,0,8,1,3,0,3,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803330","2010","3","7","Texas","48","Mills County","333",,,,,,,,,,,,"999",,,,,,,,,,,,"Mills County",,3739,3702,3420,4,16,10,1,251,37,36,3,17,1,1,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803350","2010","3","7","Texas","48","Mitchell County","335",,,,,,,,,,,,"999",,,,,,,,,,,,"Mitchell County",,7583,7499,5015,964,58,23,0,1439,84,80,2,22,3,0,44,2,0,0,1,0,0,5,0,0,1,4,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803370","2010","3","7","Texas","48","Montague County","337",,,,,,,,,,,,"999",,,,,,,,,,,,"Montague County",,15192,15015,14376,23,124,48,3,441,177,176,8,99,9,3,46,3,1,0,1,0,0,5,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803390","2010","3","7","Texas","48","Montgomery County","339",,,,,,,,,,,,"288",,,,,,,,,,,,"Montgomery County",,329767,324278,281423,13412,2300,6918,232,19993,5489,5216,426,1481,693,90,1865,71,55,12,87,40,9,135,59,147,46,243,86,16,0,12,24,2,25,24,20,12,5,1,5,0,1,2,0,1,5,2,19,5,0,7,4,0,1,2,0,0,0,0,0,0,0,0,11,7,0,0,0,4,0,0,0
"G4803410","2010","3","7","Texas","48","Moore County","341",,,,,,,,,,,,"999",,,,,,,,,,,,"Moore County",,14905,14634,11156,247,186,792,12,2241,271,269,7,79,10,3,100,4,0,0,6,4,0,2,13,38,3,2,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803430","2010","3","7","Texas","48","Morris County","343",,,,,,,,,,,,"999",,,,,,,,,,,,"Morris County",,9921,9812,7169,2220,75,33,4,311,109,105,23,42,7,1,18,5,3,0,0,1,0,0,0,4,1,4,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G4803450","2010","3","7","Texas","48","Motley County","345",,,,,,,,,,,,"999",,,,,,,,,,,,"Motley County",,946,939,877,20,7,0,0,35,7,7,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
