OBJECTID,NAME,ADDRESS,LONG,LAT
88,CURLEY K-8 (FORMERLY KNOWN AS MARY E. CURLEY SCHOOL) -,"493 CENTRE STREET,",-71.11295,42.31850004
89,ROXBURY COMMUNITY COLLEGE -,"1234 COLUMBUS AVENUE,",-71.09561587,42.32927895
90,MARGARITA MUNIZ ACADEMY,"20 CHILD STREET,",-71.11429,42.30726004
91,SHELBURNE CENTER -,"2730 WASHINGTON STREET,",-71.09016396,42.32242512
92,HIGGINSON/LEWIS K-8 SCHOOL -,"131 WALNUT AVENUE,",-71.08630897,42.32093972
93,AMORY STREET APARTMENTS -,"125 AMORY STREET,",-71.10089,42.31937004
94,WALNUT PARK APARTMENTS -,"1990 COLUMBUS AVENUE,",-71.0972,42.31532004
95,BROOKSIDE FAMILY LIFE CENTER -,"3297 WASHINGTON STREET,",-71.10366,42.31081004
96,BOSTON ENGLISH HIGH SCHOOL -,"144 MCBRIDE STREET,",-71.1096,42.30600004
97,BOSTON ENGLISH HIGH SCHOOL -,"144 MCBRIDE STREET,",-71.1096,42.30600004
98,MARGARITA MUNIZ ACADEMY,"20 CHILD STREET,",-71.11429,42.30726004
99,BOYS AND GIRLS CLUB OF BOSTON - YAWKEY CLUB OF ROXBURY,"115 WARREN STREET,",-71.0838,42.32679004
100,DR MARTIN LUTHER KING JR. TOWERS -,"280 MARTIN L. KING BOULEVARD,",-71.08331,42.31876004
101,HIGGINSON/LEWIS K-8 SCHOOL -,"131 WALNUT AVENUE,",-71.08630897,42.32093972
102,BOYS AND GIRLS CLUB OF BOSTON - YAWKEY CLUB OF ROXBURY,"115 WARREN STREET,",-71.0838,42.32679004
103,DR MARTIN LUTHER KING JR. TOWERS -,"280 MARTIN L. KING BOULEVARD,",-71.08331,42.31876004
104,REVEREND DR. MICHAEL E. HAYNES EARLY EDUCATION CENTER -,"263 BLUE HILL AVENUE,",-71.07878001,42.31510907
105,HOLGATE APARTMENTS -,"129 ELM HILL AVENUE,",-71.08902,42.30806004
106,HIGGINSON/LEWIS K-8 SCHOOL -,"131 WALNUT AVENUE,",-71.08630897,42.32093972
107,HIGGINSON/LEWIS K-8 SCHOOL -,"131 WALNUT AVENUE,",-71.08630897,42.32093972
108,CARDINAL MEDEIROS MANOR -,"11 WOODCLIFF STREET,",-71.07728,42.31583004
109,CRISTO REY BOSTON HIGH SCHOOL -,100 SAVIN HILL AVENUE.,-71.05404,42.31213004
110,CARDINAL MEDEIROS MANOR -,"11 WOODCLIFF STREET,",-71.07728,42.31583004
111,HARBOR POINT TECHNOLOGY CENTER -,"15 HARBOR POINT BOULEVARD,",-71.04330569,42.31858607
112,LILLA G. FREDERICK PILOT MIDDLE SCHOOL -,"270 COLUMBIA ROAD,",-71.0754062,42.30904836
113,UPHAMS CROSSING -,"530 COLUMBIA ROAD,",-71.0669118,42.31563508
114,ANNAPOLIS APARTMENTS -,"8A ANNAPOLIS STREET,",-71.06133809,42.31777048
115,CATHERINE F. CLARK APARTMENTS -,"915 DORCHESTER AVENUE,",-71.05704,42.31937004
116,CATHERINE F. CLARK APARTMENTS -,"915 DORCHESTER AVENUE,",-71.05704,42.31937004
117,EDWARD EVERETT ELEMENTARY SCHOOL -,"71 PLEASANT STREET,",-71.05976917,42.31367899
118,LILLA G. FREDERICK PILOT MIDDLE SCHOOL -,"270 COLUMBIA ROAD,",-71.0754062,42.30904836
119,MORNING STAR BAPTIST CHURCH -,"1257 BLUE HILL AVENUE,",-71.09242413,42.28227254
120,METROPOLITAN BAPTIST CHURCH -,393 NORFOLK STREET.,-71.08611,42.28256004
121,METROPOLITAN BAPTIST CHURCH -,393 NORFOLK STREET.,-71.08611,42.28256004
122,MORNING STAR BAPTIST CHURCH -,"1257 BLUE HILL AVENUE,",-71.09242413,42.28227254
123,LILLA G. FREDERICK PILOT MIDDLE SCHOOL -,"270 COLUMBIA ROAD,",-71.0754062,42.30904836
124,LILLA G. FREDERICK PILOT MIDDLE SCHOOL -,"270 COLUMBIA ROAD,",-71.0754062,42.30904836
125,PAULINE AGASSIZ SHAW SCHOOL -,"429 NORFOLK STREET,",-71.08683973,42.28211233
126,JOSEPH LEE SCHOOL -,"155 TALBOT AVENUE,",-71.08051725,42.29201648
127,MORNING STAR BAPTIST CHURCH -,"1257 BLUE HILL AVENUE,",-71.09242413,42.28227254
128,BOYS & GIRLS CLUB -,"15 TALBOT AVENUE,",-71.08628,42.29411004
129,LILLA G. FREDERICK PILOT MIDDLE SCHOOL -,"270 COLUMBIA ROAD,",-71.0754062,42.30904836
130,FIRE STATION -,7 PARISH STREET.,-71.0616162,42.30777681
131,FIRE STATION -,7 PARISH STREET.,-71.0616162,42.30777681
132,PASCIUCCO APARTMENTS -,330 BOWDOIN STREET.,-71.06507128,42.30842255
133,UP ACADEMY OF DORCHESTER -,"35 WESTVILLE STREET,",-71.07117908,42.29976795
134,SAVIN HILL APARTMENTS -,"130 AUCKLAND STREET,",-71.05631,42.31005004
135,VIET AID COMMUNITY CENTER -,"42 CHARLES STREET,",-71.070195,42.35723404
136,VIET AID COMMUNITY CENTER -,"42 CHARLES STREET,",-71.070195,42.35723404
137,DORCHESTER HOUSE -,"1353 DORCHESTER AVENUE,",-71.05944902,42.30443008
138,DR. WILLIAM W. HENDERSON INCLUSION ELEMENTARY SCHOOL,"1669 DORCHESTER AVENUE,",-71.06222006,42.29395811
139,SAINT JOHN PAUL II CATHOLIC ACADEMY NEPONSET CAMPUS,"239 NEPONSET AVENUE,",-71.04929904,42.29079889
140,FLORIAN HALL -,"55 HALLET STREET,",-71.04765865,42.28237633
141,FLORIAN HALL -,"55 HALLET STREET,",-71.04765865,42.28237633
142,NATIONAL GUARD ARMORY -,70 VICTORY ROAD.,-71.05311548,42.29663689
143,DR. WILLIAM W. HENDERSON INCLUSION ELEMENTARY SCHOOL,"1669 DORCHESTER AVENUE,",-71.06222006,42.29395811
144,RICHARD J. MURPHY SCHOOL -,"1 WORRELL STREET,",-71.04920386,42.29420415
145,SAINT JOHN PAUL II CATHOLIC ACADEMY NEPONSET CAMPUS,"239 NEPONSET AVENUE,",-71.04929904,42.29079889
146,ADAMS STREET BRANCH LIBRARY -,"690 ADAMS STREET,",-71.05441187,42.28627455
147,THOMAS J. KENNY ELEMENTARY  SCHOOL -,"19 OAKTON AVENUE,",-71.05319095,42.28654163
148,CODMAN SQUARE TECH CENTER -,450 WASHINGTON STREET.,-71.15828,42.34886004
149,MILDRED AVE SCHOOL -,"5 MILDRED AVENUE,",-71.09119808,42.27604659
150,HENDERSON UPPER (FORMERLY KNOWN AS WOODROW WILSON MIDDLE SCHOOL) -,"18 CROFTLAND AVENUE,",-71.06956934,42.28125311
151,CHARLES H. TAYLOR ELEMENTARY SCHOOL -,1060 MORTON STREET,-71.07742997,42.27785213
152,LOWER MILLS LIBRARY -,"27 RICHMOND STREET,",-71.06854174,42.27360625
153,LOWER MILLS LIBRARY -,"27 RICHMOND STREET,",-71.06854174,42.27360625
154,UP ACADEMY OF DORCHESTER -,"35 WESTVILLE STREET,",-71.07117908,42.29976795
155,CODMAN SQUARE TECH CENTER -,450 WASHINGTON STREET.,-71.15828,42.34886004
156,HENDERSON UPPER (FORMERLY KNOWN AS WOODROW WILSON MIDDLE SCHOOL) -,"18 CROFTLAND AVENUE,",-71.06956934,42.28125311
157,CODMAN SQUARE BRANCH LIBRARY -,"690 WASHINGTON STREET,",-71.0708664,42.28763781
158,CODMAN SQUARE BRANCH LIBRARY -,"690 WASHINGTON STREET,",-71.0708664,42.28763781
159,MILDRED AVE SCHOOL -,"5 MILDRED AVENUE,",-71.09119808,42.27604659
160,CODMAN SQUARE BRANCH LIBRARY -,"690 WASHINGTON STREET,",-71.0708664,42.28763781
161,CODMAN SQUARE APARTMENTS -,"784 WASHINGTON STREET,",-71.07095,42.28424004
162,GROVELAND COMMUNITY,"15 MARY MOORE BEATTY CIRCLE,",-71.07946196,42.27273196
163,PHINEAS BATES ELEMENTARY SCHOOL -,"426 BEECH STREET,",-71.13533,42.27776004
164,PHINEAS BATES ELEMENTARY SCHOOL -,"426 BEECH STREET,",-71.13533,42.27776004
165,BOSTON TRINITY ACADEMY -,"17 HALE STREET,",-71.12889087,42.2587978
166,THE BLAKE ESTATES -,"1344 HYDE PARK AVENUE,",-71.124802,42.25168304
167,ANOTHER COURSE TO COLLEGE (FORMERLY ELIHU GREENWOOD LEADERSHIP ACADEMY ) -,"612 METROPOLITAN AVENUE,",-71.11781,42.26523004
168,ANOTHER COURSE TO COLLEGE (FORMERLY ELIHU GREENWOOD LEADERSHIP ACADEMY ) -,"612 METROPOLITAN AVENUE,",-71.11781,42.26523004
169,BOSTON BAPTIST COLLEGE -,"950 METROPOLITAN AVENUE,",-71.11026,42.25400004
170,FRANKLIN D. ROOSEVELT K-8 SCHOOL -,"95 NEEDHAM ROAD,",-71.12418362,42.24320587
171,THE BLAKE ESTATES -,"1344 HYDE PARK AVENUE,",-71.124802,42.25168304
172,BOSTON TRINITY ACADEMY -,"17 HALE STREET,",-71.12889087,42.2587978
173,MILDRED AVE SCHOOL -,"5 MILDRED AVENUE,",-71.09119808,42.27604659
174,HEMENWAY CAMPUS OF THE FRANKLIN D. ROOSEVELT K-8 SCHOOL -,"30 MILLSTONE ROAD,",-71.13288,42.23389004
175,JAMES J. CHITTICK ELEMENTARY SCHOOL -,"154 RUSKINDALE ROAD,",-71.10478149,42.26724738
176,GEORGE H. CONLEY ELEMENTARY  SCHOOL -,"450 POPLAR STREET,",-71.12705,42.27479004
177,GEORGETOWNE HOMES COMMUNITY ROOM -,"400A GEORGETOWNE DRIVE,",-71.14443,42.25886304
178,MATTAHUNT ELEMENTARY SCHOOL -,100 HEBRON STREET.,-71.10408884,42.27580669
179,GROVELAND COMMUNITY,"15 MARY MOORE BEATTY CIRCLE,",-71.07946196,42.27273196
180,HASSAN APARTMENTS -,"705 RIVER STREET,",-71.10257,42.26457004
181,JAMES J. CHITTICK ELEMENTARY SCHOOL -,"154 RUSKINDALE ROAD,",-71.10478149,42.26724738
182,JOHN D PHILBRICK ELEMENTARY  SCHOOL -,"40 PHILBRICK STREET,",-71.11774,42.28540004
183,ANOTHER COURSE TO COLLEGE (FORMERLY ELIHU GREENWOOD LEADERSHIP ACADEMY ) -,"612 METROPOLITAN AVENUE,",-71.11781,42.26523004
184,GEORGE H. CONLEY ELEMENTARY  SCHOOL -,"450 POPLAR STREET,",-71.12705,42.27479004
185,ROSLINDALE BRANCH LIBRARY -,"4238 WASHINGTON STREET,",-71.12833,42.28590004
186,JOSEPH CALCI TRAINING CENTER -,"25 COLGATE ROAD,",-71.12133,42.29379004
187,WOODBOURNE APARTMENTS -,"6 SOUTHBOURNE ROAD,",-71.1177064,42.29016254
188,ROSLINDALE BRANCH LIBRARY -,"4238 WASHINGTON STREET,",-71.12833,42.28590004
189,JOSEPH P MANNING ELEMENTARY SCHOOL -,"130 LOUDER'S LANE,",-71.13149,42.30558004
